record_id,month,region,product_family,forecast_demand_units,actual_demand_units,beginning_inventory_units,planned_supply_receipts_units,units_fulfilled,ending_inventory_units
1,2026-01,Americas,Industrial Sensors,273,285,107,182,268,21
2,2026-01,Americas,Control Units,173,166,36,139,160,15
3,2026-01,Americas,Power Modules,198,171,72,124,163,33
4,2026-01,Americas,Safety Components,145,141,39,116,131,24
5,2026-01,Americas,Communication Modules,181,181,63,135,177,21
6,2026-02,Americas,Industrial Sensors,291,282,110,191,269,32
7,2026-02,Americas,Control Units,171,178,72,108,160,20
8,2026-02,Americas,Power Modules,193,196,62,163,190,35
9,2026-02,Americas,Safety Components,127,101,27,69,92,4
10,2026-02,Americas,Communication Modules,178,178,48,149,162,35
11,2026-03,Americas,Industrial Sensors,275,272,114,148,244,18
12,2026-03,Americas,Control Units,153,133,26,124,123,27
13,2026-03,Americas,Power Modules,193,198,69,155,196,28
14,2026-03,Americas,Safety Components,170,158,56,102,150,8
15,2026-03,Americas,Communication Modules,169,172,58,111,152,17
16,2026-04,Americas,Industrial Sensors,269,256,90,181,250,21
17,2026-04,Americas,Control Units,156,156,65,97,141,21
18,2026-04,Americas,Power Modules,180,179,64,110,165,9
19,2026-04,Americas,Safety Components,162,158,51,114,152,13
20,2026-04,Americas,Communication Modules,174,184,52,151,176,27
21,2026-05,Americas,Industrial Sensors,259,247,69,210,240,39
22,2026-05,Americas,Control Units,155,170,52,122,153,21
23,2026-05,Americas,Power Modules,206,236,82,141,213,10
24,2026-05,Americas,Safety Components,139,138,43,102,123,22
25,2026-05,Americas,Communication Modules,190,201,44,176,191,29
26,2026-06,Americas,Industrial Sensors,261,263,107,141,234,14
27,2026-06,Americas,Control Units,168,174,64,127,165,26
28,2026-06,Americas,Power Modules,216,216,62,173,195,40
29,2026-06,Americas,Safety Components,157,153,63,107,152,18
30,2026-06,Americas,Communication Modules,205,226,93,140,202,31
31,2026-07,Americas,industrial sensors,268,268,73,196,258,11
32,2026-07,Americas,control units,160,160,37,136,153,20
33,2026-07,Americas,power modules,209,203,65,139,184,20
34,2026-07,Americas,safety components,155,144,55,82,132,5
35,2026-07,Americas,communication modules,205,206,51,171,189,33
36,2026-08,Americas,Industrial Sensors,233,223,83,181,221,43
37,2026-08,Americas,Control Units,187,201,51,164,177,38
38,2026-08,Americas,Power Modules,194,173,67,116,165,18
39,2026-08,Americas,Safety Components,150,142,53,104,130,27
40,2026-08,Americas,Communication Modules,176,162,53,109,146,16
41,2026-01,EMEA,Industrial Sensors,216,229,54,182,217,19
42,2026-01,EMEA,Control Units,136,137,45,93,122,16
43,2026-01,EMEA,Power Modules,185,197,79,130,176,33
44,2026-01,EMEA,Safety Components,131,127,30,105,122,13
45,2026-01,EMEA,Communication Modules,154,151,47,116,141,22
46,2026-02,EMEA,Industrial Sensors,247,235,64,197,230,31
47,2026-02,EMEA,Control Units,139,143,60,87,136,11
48,2026-02,EMEA,Power Modules,176,183,52,158,176,34
49,2026-02,EMEA,Safety Components,127,125,35,103,121,17
50,2026-02,EMEA,Communication Modules,199,199,59,158,192,25
51,2026-03,EMEA,Industrial Sensors,242,247,49,220,223,46
52,2026-03,EMEA,Control Units,162,134,54,98,132,20
53,2026-03,EMEA,Power Modules,200,184,59,114,164,9
54,2026-03,EMEA,Safety Components,139,133,28,110,121,17
55,2026-03,EMEA,Communication Modules,182,202,52,152,185,19
56,2026-04,EMEA,Industrial Sensors,239,242,83,162,224,21
57,2026-04,EMEA,Control Units,152,152,41,118,139,20
58,2026-04,EMEA,Power Modules,207,204,42,159,191,10
59,2026-04,EMEA,Safety Components,138,135,54,103,128,29
60,2026-04,EMEA,Communication Modules,158,152,38,131,142,27
61,2026-05,EMEA,Industrial Sensors ,236,247,54,227,229,52
62,2026-05,EMEA,Control Units ,160,173,58,133,153,38
63,2026-05,EMEA,Power Modules ,177,174,45,155,172,28
64,2026-05,EMEA,Safety Components ,136,138,51,100,129,22
65,2026-05,EMEA,Communication Modules ,188,189,49,152,176,25
66,2026-06,EMEA,Industrial Sensors,281,291,94,234,269,59
67,2026-06,EMEA,Control Units,149,144,51,98,129,20
68,2026-06,EMEA,Power Modules,173,163,62,119,160,21
69,2026-06,EMEA,Safety Components,123,126,52,87,116,23
70,2026-06,EMEA,Communication Modules,156,163,64,122,163,23
71,2026-07,EMEA,Industrial Sensors,234,231,49,215,225,39
72,2026-07,EMEA,Control Units,170,182,64,132,168,28
73,2026-07,EMEA,Power Modules,207,206,80,116,187,9
74,2026-07,EMEA,Safety Components,149,156,53,117,145,25
75,2026-07,EMEA,Communication Modules,188,167,47,111,147,11
76,2026-08,EMEA,Industrial Sensors,239,234,83,134,207,10
77,2026-08,EMEA,Control Units,166,147,34,139,145,28
78,2026-08,EMEA,Power Modules,192,202,68,155,183,40
79,2026-08,EMEA,Safety Components,120,110,21,85,98,8
80,2026-08,EMEA,Communication Modules,162,160,41,116,149,8
81,2026-01,APAC,Industrial Sensors,258,268,79,192,254,17
82,2026-01,APAC,Control Units,194,211,78,133,197,14
83,2026-01,APAC,Power Modules,195,202,54,165,201,18
84,2026-01,APAC,Safety Components,155,150,52,92,137,7
85,2026-01,APAC,Communication Modules,181,207,46,168,201,13
86,2026-02,APAC,Industrial Sensors,286,316,73,284,289,68
87,2026-02,APAC,Control Units,181,184,74,104,163,15
88,2026-02,APAC,Power Modules,216,199,71,144,178,37
89,2026-02,APAC,Safety Components,140,154,41,115,148,8
90,2026-02,APAC,Communication Modules,182,175,60,109,155,14
91,2026-03,APAC,INDUSTRIAL SENSORS,250,265,101,171,254,18
92,2026-03,APAC,CONTROL UNITS,181,166,50,144,163,31
93,2026-03,APAC,POWER MODULES,238,258,88,174,246,16
94,2026-03,APAC,SAFETY COMPONENTS,151,140,52,97,130,19
95,2026-03,APAC,COMMUNICATION MODULES,195,200,54,152,198,8
96,2026-04,APAC,Industrial Sensors,208,196,72,118,183,7
97,2026-04,APAC,Control Units,183,192,49,172,180,41
98,2026-04,APAC,Power Modules,200,174,67,125,169,23
99,2026-04,APAC,Safety Components,152,159,34,158,158,34
100,2026-04,APAC,Communication Modules,171,162,63,111,158,16
101,2026-05,APAC,Industrial Sensors,280,303,124,181,273,32
102,2026-05,APAC,Control Units,150,144,31,142,144,29
103,2026-05,APAC,Power Modules,192,195,70,139,174,35
104,2026-05,APAC,Safety Components,157,163,54,137,159,32
105,2026-05,APAC,Communication Modules,178,205,45,173,189,29
106,2026-06,APAC,Industrial Sensors,258,258,61,185,230,16
107,2026-06,APAC,Control Units,182,170,59,141,168,32
108,2026-06,APAC,Power Modules,199,207,46,162,199,9
109,2026-06,APAC,Safety Components,155,170,69,108,161,16
110,2026-06,APAC,Communication Modules,195,207,75,151,201,25
111,2026-07,APAC,industrial sensors,266,265,65,230,259,36
112,2026-07,APAC,control units,174,151,40,123,150,13
113,2026-07,APAC,power modules,231,213,41,176,192,25
114,2026-07,APAC,safety components,151,137,43,106,124,25
115,2026-07,APAC,communication modules,186,191,69,125,182,12
116,2026-08,APAC,Industrial Sensors,247,265,75,185,234,26
117,2026-08,APAC,Control Units,139,145,45,105,138,12
118,2026-08,APAC,Power Modules,217,236,64,204,220,48
119,2026-08,APAC,Safety Components,154,153,53,102,144,11
120,2026-08,APAC,Communication Modules,222,218,86,142,196,32
121,2026-01,Northern Europe,Industrial Sensors,215,215,59,157,198,18
122,2026-01,Northern Europe,Control Units,132,130,46,84,118,12
123,2026-01,Northern Europe,Power Modules,154,167,53,117,162,8
124,2026-01,Northern Europe,Safety Components,115,114,41,72,102,11
125,2026-01,Northern Europe,Communication Modules,134,134,35,128,134,29
126,2026-02,Northern Europe,Industrial Sensors,209,227,44,206,221,29
127,2026-02,Northern Europe,Control Units,121,111,29,92,105,16
128,2026-02,Northern Europe,Power Modules,145,147,53,110,146,17
129,2026-02,Northern Europe,Safety Components,121,128,35,93,120,8
130,2026-02,Northern Europe,Communication Modules,148,156,45,120,138,27
131,2026-03,Northern Europe,Industrial Sensors,202,196,56,149,190,15
132,2026-03,Northern Europe,Control Units,133,137,53,84,125,12
133,2026-03,Northern Europe,Power Modules,155,160,57,132,158,31
134,2026-03,Northern Europe,Safety Components,103,103,19,90,95,14
135,2026-03,Northern Europe,Communication Modules,145,138,27,119,133,13
136,2026-04,Northern Europe,Industrial Sensors,187,179,58,137,160,35
137,2026-04,Northern Europe,Control Units,133,152,38,143,149,32
138,2026-04,Northern Europe,Power Modules,147,129,42,101,119,24
139,2026-04,Northern Europe,Safety Components,127,126,26,123,125,24
140,2026-04,Northern Europe,Communication Modules,147,137,36,106,135,7
141,2026-05,Northern Europe,Industrial Sensors,205,196,47,168,177,38
142,2026-05,Northern Europe,Control Units,126,132,36,98,122,12
143,2026-05,Northern Europe,Power Modules,138,148,32,116,132,16
144,2026-05,Northern Europe,Safety Components,84,83,31,53,73,11
145,2026-05,Northern Europe,Communication Modules,125,131,29,113,125,17
146,2026-06,Northern Europe,Industrial Sensors,203,220,62,176,207,31
147,2026-06,Northern Europe,Control Units,103,92,27,68,89,6
148,2026-06,Northern Europe,Power Modules,149,148,57,107,143,21
149,2026-06,Northern Europe,Safety Components,100,111,43,82,105,20
150,2026-06,Northern Europe,Communication Modules,149,137,27,131,137,21
151,2026-07,Northern Europe,Industrial Sensors ,253,253,89,207,242,54
152,2026-07,Northern Europe,Control Units ,126,126,37,92,115,14
153,2026-07,Northern Europe,Power Modules ,156,126,47,89,124,12
154,2026-07,Northern Europe,Safety Components ,122,115,21,94,106,9
155,2026-07,Northern Europe,Communication Modules ,143,127,37,108,122,23
156,2026-08,Northern Europe,Industrial Sensors,194,196,80,132,186,26
157,2026-08,Northern Europe,Control Units,131,128,25,101,121,5
158,2026-08,Northern Europe,Power Modules,173,157,45,111,139,17
159,2026-08,Northern Europe,Safety Components,128,118,44,82,109,17
160,2026-08,Northern Europe,Communication Modules,133,120,22,98,116,4
161,2026-01,Americas,Industrial Sensors,291,345,119,248,324,43
162,2026-01,Americas,Control Units,156,155,64,105,141,28
163,2026-01,Americas,Power Modules,196,190,60,155,174,41
164,2026-01,Americas,Safety Components,146,163,33,126,152,7
165,2026-01,Americas,Communication Modules,174,177,64,141,169,36
166,2026-02,Americas,Industrial Sensors,261,261,67,212,253,26
167,2026-02,Americas,Control Units,145,152,50,126,151,25
168,2026-02,Americas,Power Modules,187,178,51,162,174,39
169,2026-02,Americas,Safety Components,144,139,41,122,137,26
170,2026-02,Americas,Communication Modules,185,184,64,145,170,39
171,2026-03,Americas,Industrial Sensors,291,288,94,234,272,56
172,2026-03,Americas,Control Units,153,147,52,105,144,13
173,2026-03,Americas,Power Modules,192,206,67,141,182,26
174,2026-03,Americas,Safety Components,134,137,50,83,123,10
175,2026-03,Americas,Communication Modules,190,184,42,137,164,15
176,2026-04,Americas,Industrial Sensors,284,296,80,226,288,18
177,2026-04,Americas,Control Units,153,140,39,122,131,30
178,2026-04,Americas,Power Modules,196,193,44,171,190,25
179,2026-04,Americas,Safety Components,143,133,42,98,126,14
180,2026-04,Americas,Communication Modules,175,172,66,103,156,13
181,2026-05,Americas,INDUSTRIAL SENSORS,261,247,90,161,237,14
182,2026-05,Americas,CONTROL UNITS,155,158,58,120,145,33
183,2026-05,Americas,POWER MODULES,182,167,32,160,156,36
184,2026-05,Americas,SAFETY COMPONENTS,156,178,56,141,162,35
185,2026-05,Americas,COMMUNICATION MODULES,159,159,50,111,149,12
186,2026-06,Americas,Industrial Sensors,270,261,102,162,248,16
187,2026-06,Americas,Control Units,174,175,70,123,162,31
188,2026-06,Americas,Power Modules,179,189,52,147,181,18
189,2026-06,Americas,Safety Components,133,128,26,100,117,9
190,2026-06,Americas,Communication Modules,182,177,36,156,170,22
191,2026-07,Americas,Industrial Sensors,311,331,104,292,323,73
192,2026-07,Americas,Control Units,180,187,59,129,173,15
193,2026-07,Americas,Power Modules,228,224,90,151,223,18
194,2026-07,Americas,Safety Components,153,170,49,123,153,19
195,2026-07,Americas,Communication Modules,169,172,66,103,161,8
196,2026-08,Americas,Industrial Sensors,251,272,73,194,258,9
197,2026-08,Americas,Control Units,168,147,56,81,130,7
198,2026-08,Americas,Power Modules,204,214,72,177,204,45
199,2026-08,Americas,Safety Components,156,161,54,112,147,19
200,2026-08,Americas,Communication Modules,181,184,37,145,167,15
201,2026-01,EMEA,industrial sensors,212,229,92,129,213,8
202,2026-01,EMEA,control units,151,157,29,129,140,18
203,2026-01,EMEA,power modules,193,220,51,168,195,24
204,2026-01,EMEA,safety components,134,128,34,119,127,26
205,2026-01,EMEA,communication modules,163,164,42,132,156,18
206,2026-02,EMEA,Industrial Sensors,250,233,48,206,210,44
207,2026-02,EMEA,Control Units,132,140,26,123,126,23
208,2026-02,EMEA,Power Modules,188,213,43,203,210,36
209,2026-02,EMEA,Safety Components,134,135,25,125,132,18
210,2026-02,EMEA,Communication Modules,173,161,59,97,148,8
211,2026-03,EMEA,Industrial Sensors,269,270,81,227,269,39
212,2026-03,EMEA,Control Units,146,139,35,118,124,29
213,2026-03,EMEA,Power Modules,187,166,32,155,153,34
214,2026-03,EMEA,Safety Components,137,138,37,112,128,21
215,2026-03,EMEA,Communication Modules,170,172,45,145,165,25
216,2026-04,EMEA,Industrial Sensors,225,223,76,168,211,33
217,2026-04,EMEA,Control Units,161,179,53,138,158,33
